code,province,city,latitude,longitude,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
51040,Jeollanam-do,Gwangyang-si,34.940611,127.696142,12.65,6.8,210
51050,Jeollanam-do,Gurye-gun,35.202521,127.462789,33.3,19.4,57
51060,Jeollanam-do,Naju-si,35.015818,126.710826,22.16,13.2,214
51070,Jeollanam-do,Damyang-gun,35.321144,126.988229,30.27,16.3,98
51080,Jeollanam-do,Mokpo-si,34.811809,126.392198,15.88,8.8,406
51090,Jeollanam-do,Muan-gun,34.990368,126.481653,20.82,11.8,141
51100,Jeollanam-do,Boseong-gun,34.771453,127.080097,37.43,23.8,98
51110,Jeollanam-do,Suncheon-si,34.950592,127.487396,15.2,8.3,452
51120,Jeollanam-do,Sinan-gun,34.833564,126.351636,35.18,21,77
51130,Jeollanam-do,Yeosu-si,34.760421,127.662287,18.59,9.5,471
51140,Jeollanam-do,Yeonggwang-gun,35.277188,126.512087,28.4,17.3,116
51150,Jeollanam-do,Yeongam-gun,34.800192,126.696802,25.99,15.6,100
51160,Jeollanam-do,Wando-gun,34.310983,126.755076,31.55,17.9,96
51170,Jeollanam-do,Jangseong-gun,35.301826,126.784893,28.75,16.8,80
51180,Jeollanam-do,Jangheung-gun,34.681616,126.90708,33.21,21.6,80
51190,Jeollanam-do,Jindo-gun,34.486834,126.263554,32.97,22,68
51200,Jeollanam-do,Hampyeong-gun,35.065927,126.516688,35.45,22,76
51210,Jeollanam-do,Haenam-gun,34.573374,126.59925,31.45,20,135
51220,Jeollanam-do,Hwasun-gun,35.064456,126.986643,26.14,17.4,132
60000,Gyeongsangbuk-do,Gyeongsangbuk-do,36.576032,128.505599,20.85,11.1,4474
60010,Gyeongsangbuk-do,Gyeongsan-si,35.825056,128.741544,16.18,7,427
60020,Gyeongsangbuk-do,Gyeongju-si,35.856185,129.224796,21.66,11,407
60030,Gyeongsangbuk-do,Goryeong-gun,35.72615,128.26295,30.17,15.9,62
60040,Gyeongsangbuk-do,Gumi-si,36.119641,128.344295,9.08,4.3,616
60050,Gyeongsangbuk-do,Gunwi-gun,36.242926,128.572939,38.87,21.6,41
60060,Gyeongsangbuk-do,Gimcheon-si,36.139875,128.11365,22.35,12.2,212
60070,Gyeongsangbuk-do,Mungyeong-si,36.586831,128.18709,29.25,17.1,147
60080,Gyeongsangbuk-do,Bonghwa-gun,36.893099,128.732568,35.26,20,47
60090,Gyeongsangbuk-do,Sangju-si,36.410977,128.159024,30.09,17.3,186
60100,Gyeongsangbuk-do,Seongju-gun,35.919325,128.283237,30.89,15.9,84
60110,Gyeongsangbuk-do,Andong-si,36.568441,128.729551,23.95,12.4,290
60120,Gyeongsangbuk-do,Yeongdeok-gun,36.415059,129.366107,36.45,22.3,81
60130,Gyeongsangbuk-do,Yeongyang-gun,36.666664,129.112401,36.36,21.1,24
60140,Gyeongsangbuk-do,Yeongju-si,36.805702,128.623958,26.22,13.2,191
60150,Gyeongsangbuk-do,Yeongcheon-si,35.973268,128.938603,27.32,15.3,192
60160,Gyeongsangbuk-do,Yecheon-gun,36.646707,128.437435,29.79,18.4,97
60170,Gyeongsangbuk-do,Ulleung-gun,37.484438,130.905883,24.81,10.7,11
60180,Gyeongsangbuk-do,Uljin-gun,36.993078,129.400585,27.3,17.6,83
60190,Gyeongsangbuk-do,Uiseong-gun,36.352718,128.697088,40.26,23.7,108
60200,Gyeongsangbuk-do,Cheongdo-gun,35.647361,128.734382,36.55,21,85
60210,Gyeongsangbuk-do,Cheongsong-gun,36.436301,129.05708,36.08,19.4,55
60220,Gyeongsangbuk-do,Chilgok-gun,35.995529,128.401735,15.17,6.7,151
60230,Gyeongsangbuk-do,Pohang-si,36.019052,129.343645,16.44,8,877
61000,Gyeongsangnam-do,Gyeongsangnam-do,35.238294,128.692397,16.51,9.1,5364
61010,Gyeongsangnam-do,Geoje-si,34.880519,128.621216,10.22,4.7,317
61020,Gyeongsangnam-do,Geochang-gun,35.686526,127.910021,27.01,17.4,127
61030,Gyeongsangnam-do,Goseong-gun,34.972986,128.322246,30.17,18.2,89
61040,Gyeongsangnam-do,Gimhae-si,35.228678,128.889352,10.74,5.3,711
61050,Gyeongsangnam-do,Namhae-gun,34.837688,127.892595,36.92,23.3,88
61060,Gyeongsangnam-do,Miryang-si,35.503827,128.746604,27.31,16.3,178
61070,Gyeongsangnam-do,Sacheon-si,35.003668,128.064272,21.17,11.7,191
61080,Gyeongsangnam-do,Sancheong-gun,35.415544,127.87349,35.42,20.6,72
61090,Gyeongsangnam-do,Yangsan-si,35.335016,129.037057,12.92,6.2,507
61100,Gyeongsangnam-do,Uiryeong-gun,35.322198,128.26174,35.95,24.2,60
61110,Gyeongsangnam-do,Jinju-si,35.180313,128.10875,16.27,8.6,597
61120,Gyeongsangnam-do,Changnyeong-gun,35.544603,128.49233,29.8,18.4,129
61130,Gyeongsangnam-do,Changwon-si,35.227992,128.681815,13.64,6.5,1701
61140,Gyeongsangnam-do,Tongyeong-si,34.854426,128.43321,18.47,9.8,230
61150,Gyeongsangnam-do,Hadong-gun,35.067224,127.751271,32.89,19.1,94
61160,Gyeongsangnam-do,Haman-gun,35.272481,128.40654,23.74,14.7,94
61170,Gyeongsangnam-do,Hamyang-gun,35.520541,127.725177,32.65,20.9,83
61180,Gyeongsangnam-do,Hapcheon-gun,35.566702,128.16587,38.44,24.7,96
70000,Jeju-do,Jeju-do,33.488936,126.500423,15.1,6.4,1245
80000,Korea,Korea,37.566953,126.977977,15.67,7.2,94865
